season,candidate,GAME_ID,Date,HomeTeam,AwayTeam,HomeSpread_AtOpen,HomeSpread_AtClose,Over_AtOpen,Over_AtClose,2H_HomeSpread,2H_Over,HomeML,AwayML,ht_margin,actual_withot,expected,baseline_err,sqerr
2019/20,1,0021900004,2019-10-23,IND,DET,-5.0,-7.0,210.0,211.0,-4.5,104.0,-300,240,1.0,-10.0,4.5,-14.5,210.25
2019/20,1,0021900008,2019-10-23,PHI,BOS,-6.0,-5.5,215.0,214.5,-3.5,110.5,-240,190,1.0,13.0,3.5,9.5,90.25
2019/20,1,0021900015,2019-10-24,HOU,MIL,-2.0,-1.5,231.5,231.0,4.5,117.5,-120,100,16.0,-22.0,-4.5,-17.5,306.25
2019/20,1,0021900063,2019-10-30,UTA,LAC,-1.5,-7.0,216.0,216.5,-5.0,106.0,-280,230,1.0,13.0,5.0,8.0,64.0
2019/20,2,0021900004,2019-10-23,IND,DET,-5.0,-7.0,210.0,211.0,-4.5,104.0,-300,240,1.0,-10.0,4.5,-14.5,210.25
2019/20,2,0021900008,2019-10-23,PHI,BOS,-6.0,-5.5,215.0,214.5,-3.5,110.5,-240,190,1.0,13.0,3.5,9.5,90.25
2019/20,2,0021900015,2019-10-24,HOU,MIL,-2.0,-1.5,231.5,231.0,4.5,117.5,-120,100,16.0,-22.0,-4.5,-17.5,306.25
2019/20,2,0021900104,2019-11-06,IND,WAS,-2.5,-3.0,220.5,227.0,1.0,110.5,-150,130,8.0,7.0,-1.0,8.0,64.0
2019/20,3,0021900004,2019-10-23,IND,DET,-5.0,-7.0,210.0,211.0,-4.5,104.0,-300,240,1.0,-10.0,4.5,-14.5,210.25
2019/20,3,0021900008,2019-10-23,PHI,BOS,-6.0,-5.5,215.0,214.5,-3.5,110.5,-240,190,1.0,13.0,3.5,9.5,90.25
2019/20,3,0021900015,2019-10-24,HOU,MIL,-2.0,-1.5,231.5,231.0,4.5,117.5,-120,100,16.0,-22.0,-4.5,-17.5,306.25
2019/20,3,0021900128,2019-11-09,CHA,NOP,1.5,1.5,231.5,232.0,3.0,115.0,105,-125,6.0,-11.0,-3.0,-8.0,64.0
2019/20,4,0021900004,2019-10-23,IND,DET,-5.0,-7.0,210.0,211.0,-4.5,104.0,-300,240,1.0,-10.0,4.5,-14.5,210.25
2019/20,4,0021900008,2019-10-23,PHI,BOS,-6.0,-5.5,215.0,214.5,-3.5,110.5,-240,190,1.0,13.0,3.5,9.5,90.25
2019/20,4,0021900015,2019-10-24,HOU,MIL,-2.0,-1.5,231.5,231.0,4.5,117.5,-120,100,16.0,-22.0,-4.5,-17.5,306.25
2019/20,4,0021900141,2019-11-11,BOS,DAL,-3.0,-3.0,219.5,220.0,-2.0,107.5,-145,125,0.0,10.0,2.0,8.0,64.0
2019/20,5,0021900004,2019-10-23,IND,DET,-5.0,-7.0,210.0,211.0,-4.5,104.0,-300,240,1.0,-10.0,4.5,-14.5,210.25
2019/20,5,0021900008,2019-10-23,PHI,BOS,-6.0,-5.5,215.0,214.5,-3.5,110.5,-240,190,1.0,13.0,3.5,9.5,90.25
2019/20,5,0021900015,2019-10-24,HOU,MIL,-2.0,-1.5,231.5,231.0,4.5,117.5,-120,100,16.0,-22.0,-4.5,-17.5,306.25
2019/20,5,0021900201,2019-11-19,LAL,OKC,-11.0,-11.0,210.5,209.5,-3.0,103.0,-700,500,10.0,-5.0,3.0,-8.0,64.0
2019/20,6,0021900004,2019-10-23,IND,DET,-5.0,-7.0,210.0,211.0,-4.5,104.0,-300,240,1.0,-10.0,4.5,-14.5,210.25
2019/20,6,0021900008,2019-10-23,PHI,BOS,-6.0,-5.5,215.0,214.5,-3.5,110.5,-240,190,1.0,13.0,3.5,9.5,90.25
2019/20,6,0021900015,2019-10-24,HOU,MIL,-2.0,-1.5,231.5,231.0,4.5,117.5,-120,100,16.0,-22.0,-4.5,-17.5,306.25
2019/20,6,0021900312,2019-12-04,OKC,IND,0.0,1.0,213.5,209.0,0.0,102.5,105,-125,1.0,-8.0,-0.0,-8.0,64.0
2019/20,7,0021900004,2019-10-23,IND,DET,-5.0,-7.0,210.0,211.0,-4.5,104.0,-300,240,1.0,-10.0,4.5,-14.5,210.25
2019/20,7,0021900008,2019-10-23,PHI,BOS,-6.0,-5.5,215.0,214.5,-3.5,110.5,-240,190,1.0,13.0,3.5,9.5,90.25
